Team,Player,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Sooners,Dasan Harris,JR,RF,0.352,0.411,0.57,0.981,50,163,142,32,50,7,3,6,30,2,15,25,18,1
Sooners,Deiten Lachance,JR,C,0.333,0.404,0.607,1.011,62,270,234,48,78,12,2,16,65,3,28,44,2,0
Sooners,Jaxon Willits,JR,SS,0.305,0.4,0.505,0.905,61,265,220,36,67,17,3,7,52,2,37,51,6,2
Sooners,Brendan Brock,JR,C,0.301,0.392,0.53,0.922,62,273,236,57,71,11,2,13,54,5,31,70,28,4
Sooners,Trey Gambill,SR,LF,0.299,0.441,0.542,0.984,60,258,201,49,60,14,1,11,40,12,41,45,17,3
Sooners,Camden Johnson,JR,3B,0.298,0.396,0.485,0.881,62,282,235,59,70,11,3,9,47,9,31,65,29,3
Sooners,Jason Walk,JR,CF,0.278,0.383,0.41,0.793,58,243,205,45,57,9,0,6,24,4,31,61,17,5
Sooners,Kyle Branch,SO,2B,0.212,0.317,0.291,0.608,59,214,179,37,38,5,0,3,21,2,26,30,4,3
Tar_Heels,Owen Hull,JR,CF,0.398,0.506,0.614,1.121,66,310,249,58,99,26,2,8,85,11,47,44,18,5
Tar_Heels,Jake Schaffner,JR,SS,0.352,0.467,0.551,1.018,65,324,256,81,90,19,7,6,48,17,44,30,26,3
Tar_Heels,Erik Paulsen,JR,1B,0.298,0.421,0.479,0.901,65,299,242,57,72,11,0,11,56,13,41,57,1,0
Tar_Heels,Gavin Gallaher,JR,2B,0.292,0.383,0.495,0.877,66,324,277,78,81,14,3,12,61,4,39,53,8,1
Tar_Heels,Macon Winslow,JR,C,0.285,0.422,0.472,0.894,66,308,235,61,67,14,0,10,57,14,48,44,0,2
Tar_Heels,Colin Hynek,GR,C,0.262,0.351,0.485,0.837,66,276,237,49,62,17,3,10,58,6,29,58,1,0
Tar_Heels,Cooper Nicholson,JR,3B,0.259,0.431,0.561,0.992,66,282,212,53,55,14,1,16,51,23,43,63,1,0
Tar_Heels,Carter French,SR,RF,0.246,0.394,0.303,0.697,54,163,122,29,30,3,2,0,14,9,22,27,5,1
Tar_Heels,Tyler Howe,FR,LF,0.242,0.368,0.336,0.704,62,259,211,40,51,8,0,4,30,12,30,50,4,0
